Title,Summary,Case type,Market sector,Outcome type,Closed date,Archive URL
HCA International / Guy's and St. Thomas' NHS Foundation Trust ,,Mergers,Healthcare and medical equipment,Mergers - phase 1 found not to qualify  ,10/30/12,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2012/hca
Viridor / JWT Holdings Ltd ,,Mergers,Utilities,Mergers - phase 1 found not to qualify  ,10/31/12,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2012/viridor
Booker Group / Makro Holding Ltd,,Mergers,Retail and wholesale,Mergers - phase 1 referral,11/8/12,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2012/booker
Anheuser-Busch / Grupo Modelo S.A.B de C.V. ,,Mergers,Retail and wholesale,Mergers - phase 1 clearance,11/14/12,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2012/Anheuser-Busch
Edmundson Electrical / Electric Center ,,Mergers,Retail and wholesale,Mergers - phase 1 clearance with undertakings in lieu,11/19/12,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2012/edmundson-eel
Unifeeder A/S / Feederlink Shipping and Trading BV,,Mergers,Transport,Mergers - phase 1 clearance,11/27/12,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2012/unifeeder
Gauselmann Group /Marwyn Gaming Ltd (Praesepe),,Mergers,Recreation and Leisure,Mergers - phase 1 found not to qualify  ,11/30/12,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2012/gauselmann
Graphic Packaging / Contego Packaging Holdings Ltd ,,Mergers,Paper printing and packaging,Mergers - phase 1 clearance,12/13/12,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2012/graphic-packaging
LSE / LCH.Clearnet Group Ltd ,,Mergers,Financial services,Mergers - phase 1 clearance,12/14/12,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2012/LSEG
AMEC Nuclear Holdings / Serco Ltd ,,Mergers,Chemicals,Mergers - phase 1 clearance,12/21/12,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2012/amec
